波数 (cm-1),f(x)
1500.347,16.520868871209284
1500.829,16.521088791793197
1501.311,16.521311195122056
1501.793,16.52153608616797
1502.276,16.52176394421798
1502.758,16.52199383068094
1503.24,16.522226219606935
1503.722,16.52246111584745
1504.204,16.522698524223664
1504.686,16.522938449526343
1505.168,16.523180896515786
1505.65,16.52342586992176
1506.133,16.523673890572578
1506.615,16.523923936144133
1507.097,16.524176522147105
1507.579,16.524431653188305
1508.061,16.524689333843643
1508.543,16.52494956865808
1509.025,16.525212362145517
1509.507,16.525477718788768
1509.99,16.525746201571003
1510.471,16.526016139318024
1510.954,16.526289781235597
1511.436,16.526565440064577
1511.918,16.52684368400345
1512.4,16.527124517346927
1512.882,16.52740794435815
1513.364,16.527693969268622
1513.846,16.52798259627816
1514.328,16.528273829554802
1514.811,16.528568285585326
1515.293,16.52886474920149
1515.775,16.529163831406112
1516.257,16.52946553623949
1516.739,16.529769867709845
1517.221,16.530076829793273
1517.703,16.530386426433672
1518.185,16.530698661542672
1518.667,16.531013538999606
1519.15,16.53133172416754
1519.632,16.53165190333063
1520.114,16.531974736292952
1520.596,16.532300226803923
1521.078,16.532628378580334
1521.56,16.53295919530633
1522.042,16.533292680633345
1522.524,16.53362883818001
1523.007,16.533968377289888
1523.489,16.534309895562966
1523.971,16.534654096721727
1524.453,16.53500098425312
1524.935,16.535350561611033
1525.417,16.53570283221627
1525.899,16.536057799456476
1526.381,16.5364154666861
1526.864,16.536776587695435
1527.346,16.537139670452934
1527.828,16.537505463070197
1528.31,16.537873968768302
1528.792,16.53824519073486
1529.274,16.538619132123987
1529.756,16.538995796056263
1530.238,16.539375185618656
1530.72,16.539757303864487
1531.203,16.540142955098958
1531.685,16.540530545413585
1532.167,16.540920873375406
1532.649,16.541313941902654
1533.131,16.541709753879694
1533.613,16.542108312156945
1534.095,16.5425096195509
1534.577,16.542913678844037
1535.06,16.54332133966245
1535.542,16.543730916688627
1536.024,16.544143253762503
1536.506,16.544558353530064
1536.988,16.54497621860307
1537.47,16.545396851559047
1537.952,16.545820254941223
1538.434,16.54624643125849
1538.917,16.546676275813457
1539.398,16.547107112562042
1539.881,16.54754252675854
1540.363,16.54797982499282
1540.845,16.54841990819525
1541.327,16.548862778667914
1541.809,16.54930843867827
1542.291,16.5497568904592
1542.773,16.550208136208894
1543.255,16.550662178090874
1543.738,16.55111996894529
1544.22,16.551579615255463
1544.702,16.552042063984228
1545.184,16.552507317155936
1545.666,16.552975376760088
1546.148,16.553446244751306
1546.63,16.5539199230493
1547.112,16.55439641353884
1547.594,16.554875718069717
1548.077,16.555358841634806
1548.559,16.555843785505264
1549.041,16.55633154875993
1549.523,16.556822133108362
1550.005,16.557315540225
1550.487,16.557811771749172
1550.969,16.558310829285038
1551.451,16.558812714401558
1551.934,16.55931847869936
1552.416,16.55982602941743
1552.898,16.560336412214728
1553.38,16.56084962851917
1553.862,16.561365679723373
1554.344,16.56188456718465
1554.826,16.56240629222493
1555.308,16.56293085613082
1555.791,16.56345935730587
1556.273,16.563989608557286
1556.755,16.564522702324084
1557.237,16.565058639751133
1557.719,16.56559742194782
1558.201,16.566139049988067
1558.683,16.566683524910303
1559.165,16.56723084771744
1559.647,16.56778101937686
1560.13,16.568335191130767
1560.612,16.56889106916991
1561.094,16.569449798751936
1561.576,16.570011380701892
1562.058,16.57057581580924
1562.54,16.571143104827833
1563.022,16.571713248475877
1563.504,16.57228624743597
1563.987,16.572863300044
1564.469,16.57344201746046
1564.951,16.574023592023973
1565.433,16.574608024274404
1565.915,16.575195314715938
1566.397,16.575785463817066
1566.879,16.576378472010575
1567.361,16.576974339693546
1567.844,16.577574312373685
1568.325,16.578174654937605
1568.808,16.578780360129752
1569.29,16.57938767496232
1569.772,16.579997850734316
1570.254,16.58061088762838
1570.736,16.581226785791397
1571.218,16.581845545334506
1571.7,16.58246716633309
1572.182,16.583091648826787
1572.665,16.58372029733754
1573.147,16.584350508733955
1573.629,16.584983581529695
1574.111,16.585619515621296
1574.593,16.586258310869553
1575.075,16.5868999670995
1575.557,16.587544484100434
1576.039,16.58819186162588
1576.521,16.58884209939364
1577.004,16.58949655503287
1577.486,16.590152518227985
1577.968,16.59081134060351
1578.45,16.591473021734213
1578.932,16.59213756115915
