波数 (cm-1),f12(x)
1440.0829999999999,14.516880186855678
1440.565,14.520719565976608
1441.047,14.524555269385548
1441.529,14.528387298972934
1442.011,14.532215656630578
1442.493,14.536040344251692
1442.975,14.539861363730887
1443.457,14.543678716964154
1443.9389999999999,14.547492405848885
1444.422,14.55131033309722
1444.904,14.555116691390031
1445.386,14.5589193910387
1445.868,14.562718433946129
1446.35,14.566513822016605
1446.832,14.570305557155788
1447.3139999999999,14.574093641270688
1447.796,14.577878076269696
1448.279,14.581666704230715
1448.76,14.585436006560418
1449.243,14.589217330726092
1449.725,14.59298718081973
1450.207,14.596753391363796
1450.6889999999999,14.600515964274823
1451.171,14.604274901470687
1451.6529999999998,14.608030204870602
1452.135,14.611781876395149
1452.6170000000002,14.61552991796623
1453.1,14.619282096229913
1453.582,14.623022876144079
1454.0639999999999,14.6267600318825
1454.546,14.630493565372422
1455.0279999999998,14.634223478542408
1455.51,14.637949773322347
1455.9920000000002,14.641672451643453
1456.474,14.645391515438257
1456.957,14.649114671291647
1457.4389999999999,14.65282650434771
1457.921,14.656534728686959
1458.4029999999998,14.660239346247176
1458.885,14.66394035896744
1459.3670000000002,14.667637768788147
1459.849,14.671331577650973
1460.3310000000001,14.675021787498908
1460.8129999999999,14.678708400276228
1461.296,14.682399055308197
1461.7779999999998,14.686078472329582
1462.26,14.689754298124981
1462.7420000000002,14.693426534643814
1463.224,14.697095183836794
1463.7060000000001,14.700760247655918
1464.1879999999999,14.704421728054456
1464.67,14.708079626986946
1465.1529999999998,14.711741524265225
1465.635,14.715392258714044
1466.1170000000002,14.719039417572121
1466.599,14.722683002799057
1467.0810000000001,14.726323016355726
1467.5629999999999,14.729959460204256
1468.045,14.733592336308034
1468.527,14.737221646631687
1469.01,14.740854911733551
1469.4920000000002,14.744477089008182
1469.974,14.748095706408156
1470.4560000000001,14.751710765903105
1470.9379999999999,14.755322269463875
1471.42,14.75893021906257
1471.902,14.762534616672506
1472.384,14.766135464268242
1472.866,14.76973276382557
1473.349,14.77333396955686
1473.8310000000001,14.776924171618802
1474.3129999999999,14.780510831581127
1474.795,14.784093951424522
1475.277,14.78767353313087
1475.759,14.791249578683262
1476.241,14.79482209006602
1476.723,14.798391069264648
1477.2060000000001,14.801963911794727
1477.6879999999999,14.805525825268598
1478.17,14.809084212526235
1478.652,14.812639075557957
1479.134,14.81619041635527
1479.616,14.819738236910881
1480.098,14.823282539218676
1480.58,14.826823325273736
1481.0620000000001,14.830360597072321
1481.5439999999999,14.833894356611866
1482.027,14.837431926412098
1482.509,14.840958660154113
1482.991,14.844481887640608
1483.473,14.848001610873723
1483.955,14.851517831856748
1484.4370000000001,14.855030552594163
1484.9189999999999,14.858539775091584
1485.401,14.862045501355803
