波数 (cm-1),f12(x)
1440.083,14.516880186855682
1440.565,14.520719565976608
1441.047,14.524555269385548
1441.529,14.528387298972934
1442.011,14.532215656630578
1442.493,14.536040344251692
1442.975,14.539861363730887
1443.457,14.543678716964154
1443.939,14.547492405848889
1444.422,14.55131033309722
1444.904,14.555116691390031
1445.386,14.5589193910387
1445.868,14.562718433946129
1446.35,14.566513822016605
1446.832,14.570305557155788
1447.314,14.574093641270682
1447.796,14.577878076269696
1448.279,14.581666704230715
1448.76,14.585436006560418
1449.243,14.589217330726092
1449.725,14.59298718081973
1450.207,14.596753391363796
1450.689,14.600515964274821
1451.171,14.604274901470687
1451.653,14.608030204870602
1452.135,14.611781876395149
1452.617,14.615529917966226
1453.1,14.619282096229913
1453.582,14.623022876144079
1454.064,14.626760031882503
1454.546,14.630493565372422
1455.028,14.634223478542411
1455.51,14.637949773322347
1455.992,14.641672451643455
1456.474,14.645391515438257
1456.957,14.649114671291647
1457.439,14.652826504347708
1457.921,14.656534728686959
1458.403,14.660239346247172
1458.885,14.66394035896744
1459.367,14.667637768788147
1459.849,14.671331577650973
1460.331,14.675021787498908
1460.813,14.678708400276232
1461.296,14.682399055308197
1461.778,14.686078472329589
1462.26,14.689754298124981
1462.742,14.69342653464381
1463.224,14.697095183836794
1463.706,14.700760247655914
1464.188,14.704421728054452
1464.67,14.708079626986946
1465.153,14.711741524265225
1465.635,14.715392258714044
1466.117,14.719039417572114
1466.599,14.722683002799057
1467.081,14.726323016355726
1467.563,14.729959460204254
1468.045,14.733592336308034
1468.527,14.737221646631687
1469.01,14.740854911733551
1469.492,14.744477089008178
1469.974,14.748095706408156
1470.456,14.751710765903105
1470.938,14.755322269463878
1471.42,14.75893021906257
1471.902,14.762534616672506
1472.384,14.766135464268242
1472.866,14.76973276382557
1473.349,14.77333396955686
1473.831,14.776924171618798
1474.313,14.78051083158113
1474.795,14.784093951424522
1475.277,14.78767353313087
1475.759,14.791249578683262
1476.241,14.79482209006602
1476.723,14.798391069264648
1477.206,14.801963911794727
1477.688,14.805525825268598
1478.17,14.809084212526235
1478.652,14.812639075557957
1479.134,14.81619041635527
1479.616,14.819738236910881
1480.098,14.823282539218676
1480.58,14.826823325273736
1481.062,14.830360597072321
1481.544,14.833894356611866
1482.027,14.837431926412098
1482.509,14.840958660154113
1482.991,14.844481887640608
1483.473,14.848001610873723
1483.955,14.851517831856748
1484.437,14.855030552594163
1484.919,14.858539775091588
1485.401,14.862045501355803
1485.884,14.865554995805484
1486.366,14.869053728385088
1486.848,14.87254897076294
1487.33,14.876040724950434
1487.812,14.879528992960111
1488.294,14.883013776805653
1488.776,14.886495078501884
1489.258,14.889972900064768
1489.74,14.893447243511392
1490.223,14.896925308217604
1490.705,14.900392694281997
1491.187,14.903856608292397
1491.669,14.907317052270411
1492.151,14.910774028238775
1492.633,14.914227538221319
1493.115,14.917677584243032
1493.597,14.92112416832998
1494.08,14.924574432325356
1494.562,14.928014091453537
1495.044,14.931450294736061
1495.526,14.934883044203417
1496.008,14.93831234188723
1496.49,14.941738189820187
1496.972,14.9451605900361
1497.454,14.948579544569855
1497.937,14.952002138001358
1498.419,14.955414200141668
1498.901,14.958822822715247
1499.383,14.962228007761315
1499.865,14.965629757320194
1500.347,14.969028073433273
1500.829,14.972422958143003
1501.311,14.975814413492916
1501.793,14.97920244152762
1502.276,14.982594062731067
1502.758,14.985975235173392
1503.24,14.989352986444926
1503.722,14.99272731859451
1504.204,14.99609823367204
1504.686,14.999465733728474
1505.168,15.002829820815805
1505.65,15.006190496987086
1506.133,15.009554726039196
1506.615,15.012908579475745
1507.097,15.016259028165893
1507.579,15.019606074166846
1508.061,15.022949719536848
1508.543,15.026289966335161
1509.025,15.029626816622077
1509.507,15.032960272458933
1509.99,15.036297241228443
1510.471,15.039617009032828
1510.954,15.042947185158832
1511.436,15.046267076805876
1511.918,15.04958358432902
1512.4,15.052896709795696
